Name,Unit Quantity,Unit Type,Calories per unit,Protein per unit,Fiber per unit,Protein / Calories,Fiber / Calories,Category
Chicken Breast,100,grams,165,31,0,0.188,0,
Thighs,112,grams,160,22,0,0.138,0,
Ground Turkey,112,grams,150,19,0,0.127,0,
Trout,100,grams,179,20,0,0.112,0,
Skirt Steak,85,grams,202,21,0,0.104,0,
Deli Turkey,49,grams,45,10,0,0.222,0,
Shrimp,113,grams,90,17,0,0.189,0,
,,,,,,,,
Whole Milk,240,milliliters,170,8,0,0.047,0,
1% Milk,240,milliliters,120,10,0,0.083,0,
Cottage Cheese,115,grams,90,10,0,0.111,0,
Sown,15,milliliters,20,0,0,0,0,
Elmhurst Oat Milk,240,milliliters,100,3,3,0.03,0.03,
Sown Latte,,,,,,,,
Whole Milk Latte,100,milliliters,70.83,3.33,0,0.02,0,
1% Milk Latte,100,milliliters,50,4.17,0,0.03,0,
Califia,240,milliliters,130,2,0,0.05,0,
Egg,1,piece,72,6,0,0.083,0,
Egg Whites,46,grams,25,5,0,0.2,0,
Fage 2% Greek Yogurt,170,grams,120,17,0,0.142,0,
Fage 0% Greek Yogurt,170,grams,90,18,0,0.2,0,
Chobani Zero Sugar Greek Yogurt,150,grams,60,12,0,0.2,0,
Goat Cheese,28,grams,80,5,0,0.063,0,
Mexican Shredded Cheese,28,grams,110,6,0,0.055,0,
Dill Havarti Cheese,28,grams,110,6,0,0.055,0,
,,,,,,,,
Broccoli,100,grams,38.5,2.54,2.43,0.066,0.063,
Spinach,100,grams,23.3,3,2.33,0.129,0.1,
Apple,200,grams,104,0,5,0,0.048,
Kiwi,75,grams,44,0.8,2,0.018,0.045,
Orange,140,grams,66,1.3,2.8,0.02,0.042,
Blackberries,144,grams,62,2,8,0.032,0.129,
Blueberries,100,grams,57,0.74,2.4,0.013,0.042,
Strawberries,100,grams,32,0.7,2,0.022,0.063,
Avocado,50,grams,80,1,3,0.013,0.038,
Carrots,100,grams,41,0.9,2.8,0.022,0.068,
Caesar Dressing,31,grams,80,0,0,0,0,
Salsa,30,grams,5,0,0,0,0,
Olive Oil,14,grams,130,0,0,0,0,
Buitoni/Homemade Pesto,62,grams,300,7,0,0.02,0,
,,,,,,,,
Black Beans,130,grams,110,7,9,0.064,0.082,
Garbanzo Beans,130,grams,120,6,6,0.05,0.05,
Hummus (Trader Joe's),28,grams,70,2,1,0.029,0.014,
Quinoa,45,grams,170,6,3,0.035,0.018,
Farro,52,grams,190,6,5,0.032,0.026,
Lentils,100,grams,120,10,6,0.083,0.05,
Heritage Flakes,40,grams,160,5,7,0.031,0.044,
Shredded Wheat,61,grams,230,6,6,0.026,0.026,
,,,,,,,,
Almonds,30,grams,170,6,4,0.035,0.024,
Cashews,30,grams,170,5,0,0.029,0,
Pecans,31,grams,210,3,3,0.014,0.014,
Mary's Gone Crackers - Jalapeno,30,grams,150,5,3,0.033,0.02,
Pretzels - Rold Gold,,,,,,,,
Chips,28,grams,140,2,3,0.014,0.021,
Clif Bar,68,grams,250,10,5,0.04,0.02,
,,,,,,,,
Sourdough Bread,100,grams,230,7.5,1.2,0.033,0.005,
,,,,,,,,
Monin Vanilla Syrup,30,milliliters,100,0,0,0,0,
Fever Tree Ginger Beer,1,bottle,35,0,0,0,0,
Almond Cake,1,cake,3300,15,0,0.005,0,